method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
oncl,6d_workspace_sine_surface_pose_traj,0,0.08136987686157227,0.010350031778216362,0.010350031778216362,0.017584173008799553,0.03144491836428642,0.06378570199012756,0.30729830265045166,8128.0,4096.0,0.00048828125,2.362301711400505e-05,0.102294921875,0.4885580708661417,0.07015720009803772,29.000732421875,0.44568154215812683,0.0009825322777032852,296.62477690097876
oncl,6d_workspace_sine_surface_pose_traj,1,0.08823304623365402,0.012492632493376732,0.012492632493376732,0.019002633169293404,0.032952629029750824,0.06923041492700577,0.29327917098999023,8128.0,4096.0,0.001220703125,3.080543319811113e-05,0.088134765625,0.5279281496062992,0.09141881763935089,29.0,0.45184916257858276,0.003061638679355383,288.8039236260811
oncl,6d_workspace_sine_surface_pose_traj,2,0.08557438850402832,0.01224135048687458,0.01224135048687458,0.017820103093981743,0.031637173146009445,0.06775428354740143,0.30337274074554443,8128.0,4096.0,0.000244140625,3.0330216759466566e-05,0.078369140625,0.6427165354330708,0.08229164779186249,29.0,0.4604111313819885,0.002930831164121628,353.51803611498326
