method,mean_over_datasets,std_over_datasets,n_datasets
ONCL (Ours),0.03635970555524271,0.04828690361873822,11
DataAug,0.125292035350422,0.14212321857208512,11
VAE,0.3550128538286113,0.28407073910048675,11
ECoMaNN,0.620001607324966,0.19327153486360865,11
