dataset_id,Dataset,baseline_id,Baseline,metric,metric_label,n,common_seeds,oncl_mean,oncl_std,baseline_mean,baseline_std,mean_diff_good_direction,cohens_d_paired,alternative,t_stat,p_value,p_holm,significant_0.05
2d_ellipse,2DEllipse,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.023106109217873642,0.03494314780969913,0.005005294723170144,0.0008205570632406756,-0.018100814494703497,-0.48256503557317854,ONCL < baseline,1.2767470755416679,0.8755618626569387,1.0,False
2d_ellipse,2DEllipse,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.023106109217873642,0.03494314780969913,0.15022242973957742,0.05767587469888634,0.1271163205217038,1.893326748050143,ONCL < baseline,-5.009271725927324,0.0012149105946224403,0.027942943676316126,True
2d_ellipse,2DEllipse,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.023106109217873642,0.03494314780969913,0.1285590124981744,0.03189087335287573,0.10545290328030076,3.354921627946543,ONCL < baseline,-8.876288295658517,5.690344847438996e-05,0.001764006902706089,True
2d_planar_arm_line_n2,2DPlanarArmLine,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.14219725291643823,0.1173116629494706,0.1397311639572893,0.1033807865702472,-0.002466088959148952,-0.01657667494806381,ONCL < baseline,0.04385775947693138,0.5167795264548227,1.0,False
2d_planar_arm_line_n2,2DPlanarArmLine,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.14219725291643823,0.1173116629494706,0.3700576594897679,0.08703506456319499,0.22786040657332965,1.6597890142825782,ONCL < baseline,-4.391388960628737,0.0023055282393495335,0.050721621265689736,False
2d_planar_arm_line_n2,2DPlanarArmLine,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.14219725291643823,0.1173116629494706,0.23325943308217184,0.02864992498354781,0.09106218016573361,0.7874464511012506,ONCL < baseline,-2.083387480394293,0.04117400142017689,0.5764360198824764,False
2d_sparse_sine,2DSineSparse,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.030035514118415967,0.00271143422309895,0.04668184050491878,0.043223391023018844,0.016646326386502812,0.3723165905975582,ONCL < baseline,-0.9850571077045879,0.18131818041535933,1.0,False
2d_sparse_sine,2DSineSparse,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.030035514118415967,0.00271143422309895,0.025885128815259253,0.007992670141488124,-0.004150385303156716,-0.45703193705676465,ONCL < baseline,1.2091928466663244,0.8639650153410048,1.0,False
2d_sparse_sine,2DSineSparse,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.030035514118415967,0.00271143422309895,0.28252363204956055,0.05773797734701423,0.25248811793114456,4.136697771079023,ONCL < baseline,-10.944673551310297,1.727045499783395e-05,0.0005871954699263543,True
3d_planar_arm_line_n3_traj,3DPlanarArmLine,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.20498211681842804,0.09198602342436121,0.18777691679341452,0.0382282698202325,-0.017205200025013516,-0.13660813875632025,ONCL < baseline,0.36143116221662785,0.6349182349917195,1.0,False
3d_planar_arm_line_n3_traj,3DPlanarArmLine,igr,IGR,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.20498211681842804,0.09198602342436121,0.2053974653993334,0.09171213080909175,0.00041534858090536933,0.6972217227462594,ONCL < baseline,-1.844675287058628,0.05731649463767922,0.7451144302898298,False
3d_planar_arm_line_n3_traj,3DPlanarArmLine,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.20498211681842804,0.09198602342436121,0.2251961295093809,0.02547962782377966,0.020214012690952847,0.2262195572229329,ONCL < baseline,-0.5985206901110259,0.2856900868305857,1.0,False
3d_planar_arm_line_n3_traj,3DPlanarArmLine,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.20498211681842804,0.09198602342436121,0.16400357016495296,0.029484419391811297,-0.04097854665347508,-0.43290001726311816,ONCL < baseline,1.145345788233779,0.8521566685303121,1.0,False
3d_spatial_arm_ellip_n3_traj,3DArmEllipse,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.03245056154472487,0.0033268673412239704,0.16488039919308253,0.07674475772435356,0.13242983764835767,1.5972616277809686,ONCL < baseline,-4.225957045814659,0.00276237977220717,0.05800997521635057,False
3d_spatial_arm_ellip_n3_traj,3DArmEllipse,igr,IGR,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.03245056154472487,0.0033268673412239704,0.3378645011356899,0.004386841290474284,0.305413939590965,39.69632627082877,ONCL < baseline,-105.02660727549298,2.5110641990274705e-11,9.793150376207135e-10,True
3d_spatial_arm_ellip_n3_traj,3DArmEllipse,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.03245056154472487,0.0033268673412239704,0.07374464933361326,0.015609942056154137,0.041294087788888385,2.3608588820590573,ONCL < baseline,-6.246245482446234,0.0003901098755736789,0.009752746889341973,True
3d_spatial_arm_ellip_n3_traj,3DArmEllipse,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.03245056154472487,0.0033268673412239704,0.2422976153237479,0.19826405738467576,0.20984705377902305,0.9921997147651014,ONCL < baseline,-2.6251136961776798,0.01965799892974928,0.3145279828759885,False
3d_twosphere_traj,3DTwoSphere,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.027743751715336527,0.0003980775029609431,0.03322580137423107,0.0014583869784866612,0.005482049658894539,3.072223538715061,ONCL < baseline,-8.12833945543887,9.312362818814916e-05,0.0027005852174563257,True
