method,mean_over_datasets,std_over_datasets,n_datasets
ONCL (Ours),0.10267808953565587,0.1225350979570357,11
DataAug,0.18973574777521368,0.17041001185101162,11
VAE,0.2980311109462202,0.23767763120025717,11
ECoMaNN,0.5594166452833362,0.1942774796716088,11
