dataset_id,Dataset,baseline_id,Baseline,metric,metric_label,n_oncl,n_base,oncl_mean,oncl_std,baseline_mean,baseline_std,mean_diff_good_direction,cohens_d_independent,test_type,alternative,t_stat,p_value,p_holm,significant_0.05
2d_ellipse,2DEllipse,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.023106109217873642,0.03494314780969913,0.005005294723170144,0.0008205570632406756,-0.0181008144947035,-0.6780441696569813,welch_independent,ONCL < baseline,1.2685044879780238,0.8742196249839541,1.0,False
2d_ellipse,2DEllipse,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.023106109217873642,0.03494314780969913,0.15022242973957742,0.05767587469888634,0.12711632052170377,2.4680566570254046,welch_independent,ONCL < baseline,-4.617311210867852,0.0004923992304065243,0.009847984608130486,True
2d_ellipse,2DEllipse,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.023106109217873642,0.03494314780969913,0.1285590124981744,0.03189087335287573,0.10545290328030074,2.9185364224652925,welch_independent,ONCL < baseline,-5.460081681843026,7.480832212185528e-05,0.001870208053046382,True
2d_planar_arm_line_n2,2DPlanarArmLine,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.14219725291643823,0.1173116629494706,0.1397311639572893,0.1033807865702472,-0.002466088959148932,-0.020649728433095933,welch_independent,ONCL < baseline,0.03863210446328464,0.5150855551566919,1.0,False
2d_planar_arm_line_n2,2DPlanarArmLine,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.14219725291643823,0.1173116629494706,0.3700576594897679,0.08703506456319499,0.22786040657332965,2.042407903135513,welch_independent,ONCL < baseline,-3.8209953087862334,0.0014033706675065315,0.023857301347611035,True
2d_planar_arm_line_n2,2DPlanarArmLine,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.14219725291643823,0.1173116629494706,0.23325943308217184,0.02864992498354781,0.09106218016573361,0.9873213420373876,welch_independent,ONCL < baseline,-1.847109096276876,0.05451286087235927,0.599641469595952,False
2d_sparse_sine,2DSineSparse,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.030035514118415967,0.00271143422309895,0.04668184050491878,0.043223391023018844,0.016646326386502815,0.503255285054827,welch_independent,ONCL < baseline,-0.9415044273792094,0.1912596644721488,1.0,False
2d_sparse_sine,2DSineSparse,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.030035514118415967,0.00271143422309895,0.025885128815259253,0.007992670141488124,-0.0041503853031567145,-0.6438495069640616,welch_independent,ONCL < baseline,1.2045321318514208,0.8671647832555546,1.0,False
2d_sparse_sine,2DSineSparse,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.030035514118415967,0.00271143422309895,0.28252363204956055,0.05773797734701423,0.25248811793114456,5.7192966953769835,welch_independent,ONCL < baseline,-10.699824363704542,1.910486464167994e-05,0.0005540410746087182,True
3d_planar_arm_line_n3_traj,3DPlanarArmLine,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.20498211681842804,0.09198602342436121,0.18777691679341452,0.0382282698202325,-0.017205200025013523,-0.2261432205907288,welch_independent,ONCL < baseline,0.4230752258960746,0.6583165027014426,1.0,False
