traj_id,point_id,x,y,z,roll,pitch,yaw,pos_err,ori_err_deg
0,0,0.3720000088214874,-0.09707499295473099,1.0986664295196533,-0.1701851189136505,-0.5920644402503967,-0.16484183073043823,0.0,0.0
0,1,0.3752259314060211,-0.0975102111697197,1.101622223854065,-0.16315892338752747,-0.5962470769882202,-0.18161143362522125,0.0007776021957397461,0.2818552255630493
0,2,0.377886563539505,-0.09857439994812012,1.1050068140029907,-0.1561172902584076,-0.6013056635856628,-0.1989925354719162,0.0021299123764038086,0.5539076328277588
0,3,0.3812843859195709,-0.09840299934148788,1.1054964065551758,-0.14538033306598663,-0.6060463786125183,-0.21337305009365082,0.00048601627349853516,0.4837595522403717
0,4,0.38378000259399414,-0.09978164732456207,1.1083132028579712,-0.13640567660331726,-0.6114227175712585,-0.22959721088409424,0.0012557506561279297,0.6074849963188171
0,5,0.38745877146720886,-0.09935262054204941,1.1085659265518188,-0.12448523938655853,-0.6157138347625732,-0.24343299865722656,0.0007560253143310547,0.4130682945251465
0,6,0.38965150713920593,-0.10097016394138336,1.1117547750473022,-0.11517487466335297,-0.6207812428474426,-0.2594253122806549,0.0004950761795043945,0.54104083776474
0,7,0.3936816453933716,-0.10042139887809753,1.111821174621582,-0.10301637649536133,-0.6242774128913879,-0.27328380942344666,0.0019173622131347656,0.3214254081249237
0,8,0.39552202820777893,-0.10209312289953232,1.1153336763381958,-0.09355231374502182,-0.6290323734283447,-0.28914928436279297,0.00013327598571777344,0.5143425464630127
0,9,0.3999534845352173,-0.10153760761022568,1.115233063697815,-0.08142063766717911,-0.6318557262420654,-0.3031303882598877,0.0029865503311157227,0.4092611074447632
0,10,0.40152737498283386,-0.10319110751152039,1.118667483329773,-0.07173650711774826,-0.6361591815948486,-0.31885403394699097,0.0010982751846313477,0.6486108303070068
0,11,0.40615519881248474,-0.1026846319437027,1.118491530418396,-0.05991638824343681,-0.6379366517066956,-0.3330891728401184,0.004170656204223633,0.7010923027992249
0,12,0.4073129892349243,-0.10423776507377625,1.1222892999649048,-0.05046694725751877,-0.6401157379150391,-0.3490368127822876,0.0016089677810668945,0.8411641716957092
0,13,0.4120672643184662,-0.10393542051315308,1.122288465499878,-0.03964812681078911,-0.6390455365180969,-0.36398008465766907,0.0046378374099731445,0.8758100271224976
0,14,0.413838654756546,-0.10518596321344376,1.1257880926132202,-0.030962560325860977,-0.6373505592346191,-0.3805137574672699,0.002675175666809082,0.8325124979019165
0,15,0.41763290762901306,-0.10520920157432556,1.1261967420578003,-0.021306583657860756,-0.6337257027626038,-0.39623674750328064,0.004740715026855469,0.7793397903442383
0,16,0.42009222507476807,-0.10615716874599457,1.1293270587921143,-0.012981558218598366,-0.6302059888839722,-0.4130162298679352,0.0034853219985961914,0.7038777470588684
