method,n_cases,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
dataaug,119,0.15664581801867536,0.03881545175853021,0.03881545175853021,,,0.04018111032103149,0.09748987688148833,0.11646470839173353,0.5381630195320404,8933.176470588236,4096.0,0.027977674391771335,0.0004050300974139485,0.5260676536239496,0.7924382820203032,0.13733844504449047,50.325831309086134,0.2554715964473596,0.03590389606641019,104.7316977683266
ecomann,126,0.4466867996231904,0.3299033739234483,0.3299033739234483,,,0.1570206004655033,0.31005230144272367,0.2896661970705267,0.8196991407682025,8888.444444444445,4096.0,0.2576030863417477,0.04174722983415926,0.11395941840277778,0.8591580382891951,0.3202220695241103,6.811128162202381,0.48759587558489,0.06715078381297182,415.13650258376595
igr,49,0.3114227693603963,0.01240788720909278,0.01240788720909278,,,0.04807589121866135,0.1009028717134224,0.26334687721516403,0.7528116433139966,9105.714285714286,4096.0,0.015524307179316387,5.223687902536526e-05,0.3846859056122449,0.7885172443722315,0.28884323021130903,21.859509526466837,0.44040380437307214,0.022420043474400644,36.30341555849276
oncl,126,0.11860280903056264,0.029620603418036823,0.029620603418036823,,,0.026337020799040885,0.060996712931978794,0.09226578821442903,0.43058721003462636,8888.444444444445,4096.0,0.009720316770373248,0.0004618079748820853,0.6860874720982143,0.7974008760671891,0.08813528261250919,21.275318932911706,0.2709578977646454,0.2006098826331297,43.27325994386116
vae,116,0.23909927670169492,0.18195779721156277,0.18195779721156277,0.25053211597019226,0.17377478259230225,0.0762592881962111,0.2157291673467061,0.1628399894829711,0.7332758595203531,8954.0,4096.0,0.06836598061762901,0.011548238636319654,0.44401602909482757,0.7002479638261218,0.16788389959276237,1.0,0.5477675076188713,0.21575246789845928,18.885861963359087
