method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
oncl,3d_spatial_arm_ellip_n3_traj,0,0.03737914562225342,0.03360225260257721,0.03360225260257721,0.009771093726158142,0.02285337634384632,0.027608053758740425,0.09121379256248474,8128.0,4096.0,0.00049079754601227,0.0002171549858758226,0.92138671875,0.8677411417322834,0.027608053758740425,19.0,0.29478317499160767,0.029295101761817932,11.00024821900297
oncl,3d_spatial_arm_ellip_n3_traj,1,0.0373532772064209,0.03391820937395096,0.03391820937395096,0.009504257701337337,0.017622919753193855,0.027849020436406136,0.06052973493933678,8128.0,4096.0,0.0004898359049718344,0.00021887758339289576,0.827392578125,0.7736220472440944,0.027849020436406136,19.0,0.29483479261398315,0.025825774297118187,11.850829090049956
oncl,3d_spatial_arm_ellip_n3_traj,2,0.03684864193201065,0.026139581575989723,0.026139581575989723,0.010479891672730446,0.020580120384693146,0.026368748396635056,0.08003053069114685,8128.0,4096.0,0.0004895960832313342,0.00020807301916647702,0.926513671875,0.844488188976378,0.026368748396635056,19.0,0.29084935784339905,0.026676181703805923,10.56012322101742
oncl,3d_spatial_arm_ellip_n3_traj,3,0.036629315465688705,0.030600404366850853,0.030600404366850853,0.010420479811728,0.019187984988093376,0.02620883658528328,0.06779412925243378,8128.0,4096.0,0.0009784735812133072,0.00022008125961292535,0.931640625,0.8854576771653543,0.02620883658528328,19.000244140625,0.2894178032875061,0.026805423200130463,10.349443639977835
oncl,3d_spatial_arm_ellip_n3_traj,4,0.03441447392106056,0.02742232196033001,0.02742232196033001,0.009215948171913624,0.021660607308149338,0.025198526680469513,0.07180587947368622,8128.0,4096.0,0.0004893564962074871,0.00017926788132172078,0.935791015625,0.859498031496063,0.025198526680469513,19.0,0.2927846312522888,0.028945066034793854,10.942223946971353
oncl,3d_spatial_arm_ellip_n3_traj,5,0.04098021984100342,0.033628910779953,0.033628910779953,0.012269631959497929,0.023585187271237373,0.028710588812828064,0.0686178058385849,8128.0,4096.0,0.0012224938875305623,0.00021739385556429625,0.903564453125,0.8343996062992126,0.028710588812828064,19.000244140625,0.29444295167922974,0.029894806444644928,11.590795679017901
oncl,3d_spatial_arm_ellip_n3_traj,6,0.034980352967977524,0.02967820316553116,0.02967820316553116,0.008428137749433517,0.015888407826423645,0.026552215218544006,0.07530476897954941,8128.0,4096.0,0.0004889975550122249,0.00019989859720226377,0.89453125,0.8334153543307087,0.026552215218544006,19.0,0.291334867477417,0.028679735958576202,11.666662789997645
ecomann,3d_spatial_arm_ellip_n3_traj,0,0.2010403275489807,0.13901512324810028,0.13901512324810028,0.04888462275266647,0.07778225839138031,0.15215569734573364,0.7023465633392334,8128.0,4096.0,0.02355828220858896,0.00492601515725255,0.05810546875,0.843996062992126,0.15215569734573364,4.37109375,0.4244801700115204,0.012932946905493736,81.90389263699763
ecomann,3d_spatial_arm_ellip_n3_traj,1,0.3488871455192566,0.1243918240070343,0.1243918240070343,0.05127807706594467,0.10185793042182922,0.2976090610027313,0.9469649791717529,8128.0,4096.0,0.05094293411707078,0.0034015539567917585,0.031982421875,0.891486220472441,0.29760903120040894,27.4609375,0.8181415796279907,0.11544515937566757,85.13577331905253
ecomann,3d_spatial_arm_ellip_n3_traj,2,0.38966965675354004,0.21022917330265045,0.21022917330265045,0.08654610812664032,0.2427763193845749,0.3031235635280609,0.9859079718589783,8128.0,4096.0,0.05997552019583843,0.014022593386471272,0.04052734375,0.921875,0.3031235635280609,62.4560546875,1.0222821235656738,0.09542852640151978,79.72469098703004
ecomann,3d_spatial_arm_ellip_n3_traj,3,0.8095202445983887,0.1904008686542511,0.1904008686542511,0.21207286417484283,0.46648502349853516,0.597447395324707,0.9338704347610474,8128.0,4096.0,0.07705479452054795,0.011269462294876575,0.003173828125,0.9514025590551181,0.597447395324707,92.044677734375,1.0727033615112305,0.13512547314167023,84.57789098500507
ecomann,3d_spatial_arm_ellip_n3_traj,4,0.09365866333246231,0.11615955829620361,0.11615955829620361,0.022117113694548607,0.04567836597561836,0.07154154777526855,0.16021806001663208,8128.0,4096.0,0.020063616344506974,0.003059891052544117,0.36767578125,0.8332923228346457,0.07154154777526855,6.431640625,0.41375768184661865,0.03009210154414177,79.0531110970187
ecomann,3d_spatial_arm_ellip_n3_traj,5,0.4063655436038971,0.12936942279338837,0.12936942279338837,0.06917381286621094,0.17819654941558838,0.33719173073768616,0.9591745138168335,8128.0,4096.0,0.01784841075794621,0.004902328830212355,0.102294921875,0.828125,0.33719173073768616,57.979248046875,0.8599610328674316,0.19689294695854187,83.08199957403122
ecomann,3d_spatial_arm_ellip_n3_traj,6,0.22838912904262543,0.1440303921699524,0.1440303921699524,0.06094108149409294,0.09445760399103165,0.1674480438232422,0.46687567234039307,8128.0,4096.0,0.05305623471882641,0.00584365613758564,0.03759765625,0.8454724409448819,0.1674480438232422,9.6494140625,0.6597625017166138,0.05306234210729599,77.70584651897661
oncl,3d_torus_surface_traj,0,0.10552781820297241,0.012252628803253174,0.012252628803253174,0.0631878674030304,0.13613280653953552,0.04233995079994202,0.08214158564805984,8100.0,4096.0,0.00026961445133459155,2.5274903237004764e-05,0.9140625,0.8775308641975309,0.04233995079994202,19.0,0.04564668610692024,0.0007072453154250979,24.632741168956272
oncl,3d_torus_surface_traj,1,0.10232837498188019,0.004883297253400087,0.004883297253400087,0.061567436903715134,0.1331876516342163,0.04076094180345535,0.08190381526947021,8100.0,4096.0,0.00027151778441487917,4.465910024009645e-06,0.91943359375,0.6790123456790124,0.04076094180345535,19.0,0.04270095378160477,0.0006000957218930125,23.695748160011135
oncl,3d_torus_surface_traj,2,0.10159850120544434,0.007087585981935263,0.007087585981935263,0.06073574349284172,0.1307285875082016,0.040862761437892914,0.0815223976969719,8100.0,4096.0,0.0005422993492407809,8.468093255942222e-06,0.9208984375,0.8244444444444444,0.040862761437892914,19.0,0.042465612292289734,0.0005984805175103247,24.13044117798563
oncl,3d_torus_surface_traj,3,0.1030542254447937,0.0075782909989356995,0.0075782909989356995,0.06212879344820976,0.13768817484378815,0.04092542827129364,0.0827406793832779,8100.0,4096.0,0.0,1.0502432814973872e-05,0.917236328125,0.8179012345679012,0.04092542827129364,19.0,0.04240024834871292,0.0005748786497861147,23.757531695999205
oncl,3d_torus_surface_traj,4,0.10040353238582611,0.007808002643287182,0.007808002643287182,0.05974023789167404,0.12616309523582458,0.04066329821944237,0.0822654515504837,8100.0,4096.0,0.0016335420637081405,1.1322193131491076e-05,0.920166015625,0.7925925925925926,0.04066329821944237,19.0,0.043086349964141846,0.000546162948012352,24.205578097025864
oncl,3d_torus_surface_traj,5,0.10410954058170319,0.010892138816416264,0.010892138816416264,0.06142047792673111,0.1298121213912964,0.042689062654972076,0.08317039906978607,8100.0,4096.0,0.0013430029546065002,2.2125825125840493e-05,0.910400390625,0.8325925925925926,0.042689062654972076,19.0,0.045913055539131165,0.0006537542794831097,23.208107951038983
oncl,3d_torus_surface_traj,6,0.10309838503599167,0.008478724397718906,0.008478724397718906,0.06145346909761429,0.12966980040073395,0.04164491593837738,0.08310636878013611,8100.0,4096.0,0.002157497303128371,1.0925156857410911e-05,0.912353515625,0.8696296296296296,0.04164491593837738,19.0,0.043350379914045334,0.0006502520409412682,23.75590213004034
ecomann,3d_torus_surface_traj,0,0.5168971419334412,0.4080275893211365,0.4080275893211365,0.23727858066558838,0.40222105383872986,0.2796185612678528,0.46505776047706604,8100.0,4096.0,0.4850363979509302,0.04290267825126648,0.035888671875,0.9319753086419753,0.2796185612678528,3.569091796875,0.32646533846855164,0.010112862102687359,16.341387437016238
ecomann,3d_torus_surface_traj,1,0.644048273563385,0.3282022178173065,0.3282022178173065,0.2871134877204895,0.6856247782707214,0.3569347858428955,1.3688361644744873,8100.0,4096.0,0.4390442573988596,0.019987786188721657,0.164794921875,0.6958024691358025,0.3569347858428955,4.34912109375,0.4680798351764679,0.014581672847270966,19.964292161981575
ecomann,3d_torus_surface_traj,2,0.5338436365127563,0.28087955713272095,0.28087955713272095,0.23604485392570496,0.45068928599357605,0.2977988123893738,0.6739383935928345,8100.0,4096.0,0.6049349240780911,0.014087509363889694,0.101806640625,0.9424691358024692,0.2977988123893738,3.25341796875,0.39890044927597046,0.011937825009226799,14.324657201999798
ecomann,3d_torus_surface_traj,3,0.6147447824478149,0.2951732575893402,0.2951732575893402,0.2198302447795868,0.43258360028266907,0.39491456747055054,0.796561598777771,8100.0,4096.0,0.5316490084216245,0.01852220855653286,0.09912109375,0.9581481481481482,0.39491456747055054,11.410400390625,0.4968215525150299,0.04109704867005348,16.941848944989033
ecomann,3d_torus_surface_traj,4,0.7624578475952148,0.5267881751060486,0.5267881751060486,0.37386995553970337,0.812875509262085,0.3885878622531891,1.106835961341858,8100.0,4096.0,0.6016879934658318,0.05212150886654854,0.093017578125,0.8612345679012345,0.3885878622531891,3.571533203125,0.557585597038269,0.01018937211483717,16.916538313031197
ecomann,3d_torus_surface_traj,5,0.4170423746109009,0.19875167310237885,0.19875167310237885,0.21222525835037231,0.4035491645336151,0.20481710135936737,0.40654000639915466,8100.0,4096.0,0.370668815471394,0.00893422681838274,0.10888671875,0.865679012345679,0.20481710135936737,3.1572265625,0.26633700728416443,0.0084763802587986,13.806365732045379
ecomann,3d_torus_surface_traj,6,0.7070462703704834,0.47224608063697815,0.47224608063697815,0.33308133482933044,0.6657313108444214,0.37396490573883057,0.8591634035110474,8100.0,4096.0,0.5720064724919094,0.05062699690461159,0.09375,0.81,0.37396490573883057,3.285400390625,0.5021888017654419,0.011023489758372307,14.881565466988832
oncl,6d_workspace_sine_surface_pose_traj,0,0.08401951938867569,0.013474175706505775,0.013474175706505775,0.017469758167862892,0.03113015554845333,0.06654976308345795,0.3117765784263611,8128.0,4096.0,0.00146484375,3.593631845433265e-05,0.10546875,0.7303149606299213,0.10966270416975021,29.0,0.4549386501312256,0.0014441171661019325,130.28023516386747
oncl,6d_workspace_sine_surface_pose_traj,1,0.06751413643360138,0.012057643383741379,0.012057643383741379,0.015617357566952705,0.028300512582063675,0.05189678072929382,0.2768115699291229,8128.0,4096.0,0.00048828125,2.9698510843445547e-05,0.128173828125,0.7962598425196851,0.054024048149585724,29.0,0.44903701543807983,0.0005422293907031417,128.5117509861011
oncl,6d_workspace_sine_surface_pose_traj,2,0.08093637228012085,0.014363515190780163,0.014363515190780163,0.016506386920809746,0.029584987089037895,0.06442998349666595,0.30101922154426575,8128.0,4096.0,0.00048828125,4.2539515561657026e-05,0.111083984375,0.8081938976377953,0.09295770525932312,29.0,0.45310473442077637,0.00290719885379076,147.5309965950437
oncl,6d_workspace_sine_surface_pose_traj,3,0.0699271410703659,0.019285311922430992,0.019285311922430992,0.018137309700250626,0.030938729643821716,0.05178982764482498,0.25544893741607666,8128.0,4096.0,0.002686202686202686,8.382782834814861e-05,0.056884765625,0.8260334645669292,0.06585037708282471,29.0,0.43755704164505005,0.000597418169490993,154.14759217505343
oncl,6d_workspace_sine_surface_pose_traj,4,0.0737151950597763,0.014530415646731853,0.014530415646731853,0.016990356147289276,0.030284881591796875,0.05672483518719673,0.28752660751342773,8128.0,4096.0,0.00146484375,4.5045009755995125e-05,0.09765625,0.7484005905511811,0.07069581001996994,29.0,0.44878363609313965,0.0008118550758808851,160.1683423400391
oncl,6d_workspace_sine_surface_pose_traj,5,0.07853392511606216,0.015748511999845505,0.015748511999845505,0.01767834462225437,0.029868341982364655,0.06085558235645294,0.3095299005508423,8128.0,4096.0,0.001220703125,6.073635086067952e-05,0.07568359375,0.7481545275590551,0.09038940817117691,29.0,0.45197421312332153,0.002029246650636196,134.74590384587646
oncl,6d_workspace_sine_surface_pose_traj,6,0.0667760819196701,0.012460111640393734,0.012460111640393734,0.015596428886055946,0.029204687103629112,0.05117965489625931,0.27060097455978394,8128.0,4096.0,0.0009765625,3.047324571525678e-05,0.1884765625,0.8169291338582677,0.050793956965208054,29.0,0.44915151596069336,0.000664754246827215,149.49394019017927
ecomann,6d_workspace_sine_surface_pose_traj,0,0.31409451365470886,0.10122720152139664,0.10122720152139664,0.03660615533590317,0.06233712658286095,0.2774883508682251,1.0081526041030884,8128.0,4096.0,0.028076171875,0.0021121720783412457,0.00244140625,0.8074557086614174,0.42711371183395386,7.41455078125,0.5769646167755127,0.14709904789924622,850.6363739720546
ecomann,6d_workspace_sine_surface_pose_traj,1,0.28605085611343384,0.11533771455287933,0.11533771455287933,0.041237711906433105,0.07563680410385132,0.24481312930583954,0.7135289907455444,8128.0,4096.0,0.028076171875,0.0033072116784751415,0.001220703125,0.7856791338582677,0.4393298625946045,8.159912109375,0.6058087944984436,0.1827758252620697,789.0601481928024
ecomann,6d_workspace_sine_surface_pose_traj,2,0.22094537317752838,0.14979678392410278,0.14979678392410278,0.038972899317741394,0.06215428188443184,0.181972473859787,0.6461790800094604,8128.0,4096.0,0.05029296875,0.0047859251499176025,0.000732421875,0.8801673228346457,0.30083101987838745,6.354736328125,0.48197874426841736,0.10855787992477417,847.8302607000805
ecomann,6d_workspace_sine_surface_pose_traj,3,0.12314505875110626,0.05503258854150772,0.05503258854150772,0.022228796035051346,0.037909429520368576,0.10091626644134521,0.45612090826034546,8128.0,4096.0,0.003907203907203907,0.0007210799376480281,0.02294921875,0.7277312992125984,0.1556583046913147,4.637939453125,0.36613693833351135,0.037883467972278595,880.3525960990228
ecomann,6d_workspace_sine_surface_pose_traj,4,0.16439323127269745,0.076874740421772,0.076874740421772,0.027649546042084694,0.04723850265145302,0.1367436796426773,0.5545896291732788,8128.0,4096.0,0.009521484375,0.0013955056201666594,0.010498046875,0.8197588582677166,0.20724119246006012,4.76123046875,0.3958704173564911,0.042402882128953934,766.153771129204
ecomann,6d_workspace_sine_surface_pose_traj,5,0.18052633106708527,0.06692873686552048,0.06692873686552048,0.027797380462288857,0.04686456173658371,0.15272894501686096,0.6510229110717773,8128.0,4096.0,0.0087890625,0.0012169454712420702,0.006591796875,0.7332677165354331,0.23012614250183105,4.654541015625,0.39314740896224976,0.04213183373212814,780.4768411619589
ecomann,6d_workspace_sine_surface_pose_traj,6,0.15824902057647705,0.08408228307962418,0.08408228307962418,0.027982626110315323,0.047004859894514084,0.13026639819145203,0.5176613926887512,8128.0,4096.0,0.0166015625,0.001808324595913291,0.00390625,0.7854330708661418,0.21052145957946777,5.63232421875,0.38703903555870056,0.040745314210653305,803.7601721419487
